gene_id	gene_symbol	cluster
FBgn0000003	7SLRNA:CR32864	2
FBgn0000008	a	2
FBgn0000017	Abl	2
FBgn0000018	ao	2
FBgn0000022	ac	2
FBgn0000032	Acph-1	2
FBgn0000042	Act5C	2
FBgn0000043	Act42A	2
FBgn0000044	Act57B	2
FBgn0000046	Act87E	2
FBgn0000052	Pfas	2
FBgn0000053	Gart	2
FBgn0000057	adp	2
FBgn0000061	al	2
FBgn0000063	Mps1	2
FBgn0000064	Ald1	2
FBgn0000071	Ama	2
FBgn0000075	amd	3
FBgn0000077	amx	2
FBgn0000083	AnxB9	2
FBgn0000084	AnxB10	2
FBgn0000092	dyw	2
FBgn0000097	aop	2
FBgn0000100	RpLP0	2
FBgn0000109	Aprt	2
FBgn0000115	Arl1	2
FBgn0000116	Argk1	2
FBgn0000117	arm	2
FBgn0000119	arr	2
FBgn0000121	Arr2	2
FBgn0000137	ase	2
FBgn0000139	ash2	2
FBgn0000140	asp	2
FBgn0000146	aub	2
FBgn0000147	aurA	2
FBgn0000150	awd	2
FBgn0000152	Axs	2
FBgn0000153	Adc	2
FBgn0000157	Dll	2
FBgn0000158	bam	2
FBgn0000163	baz	2
FBgn0000173	ben	2
FBgn0000179	bi	2
FBgn0000180	bib	2
FBgn0000181	bic	2
FBgn0000183	BicD	2
FBgn0000212	brm	2
FBgn0000216	Brd	2
FBgn0000221	brn	2
FBgn0000228	Nin	2
FBgn0000229	bsk	2
FBgn0000233	btd	2
FBgn0000239	bur	2
FBgn0000244	by	2
FBgn0000246	c(3)G	2
FBgn0000247	ca	2
FBgn0000250	cact	2
FBgn0000253	Cam	2
FBgn0000256	capu	2
FBgn0000257	car	2
FBgn0000259	CkIIbeta	2
FBgn0000261	Cat	2
FBgn0000273	Pka-C1	2
FBgn0000283	Cp190	2
FBgn0000286	Cf2	2
FBgn0000287	salr	2
FBgn0000289	cg	2
FBgn0000299	Col4a1	2
FBgn0000307	chif	2
FBgn0000308	chic	2
FBgn0000316	cin	2
FBgn0000317	ck	2
FBgn0000318	cl	2
FBgn0000319	Chc	2
FBgn0000320	eya	2
FBgn0000326	clt	2
FBgn0000330	cm	2
